Complex_ID,Borough,Complex_Name,Daytime_Routes,Complex_Latitude,Complex_Longitude,Weekday_2008,Weekday_2009,Weekday_2010,Weekday_2011,Weekday_2012,Weekday_2013,Weekday_2014,Weekday_2015,Weekday_2016,Weekday_2017,Weekday_2018,Weekday_2019
221,Q,21 St - Queensbridge,F,40.754203,-73.942836,7374,7602,8365,8678,8749,8761,8914,9447,9779,10209,10840,11184
222,M,Roosevelt Island,F,40.759145,-73.95326,6071,5816,7870,6576,6430,6321,5998,6197,6630,7354,7153,7489
223,M,Lexington Av/63 St,F Q,40.764629,-73.966113,13488,13425,15816,15616,15639,15404,15493,16098,16988,20893,21394,21574
224,M,57 St,F,40.763972,-73.97745,15267,13939,14426,15045,14743,15363,15506,15725,15768,15154,7638,14254
225,M,47-50 Sts - Rockefeller Ctr,B D F M,40.758663,-73.981329,60818,55402,56758,59979,59749,61099,62693,63803,62283,61478,61027,63609
228,M,23 St,F M,40.742878,-73.992821,25917,24407,25100,27049,27977,28749,29327,30652,31078,30758,18416,28776
231,M,Grand St,B D,40.718267,-73.993753,23333,23266,23304,23284,23406,23770,24153,24281,24649,24460,23422,24323
232,M,2 Av,F,40.723402,-73.989938,17552,17310,17090,17364,17540,17801,17183,17355,17059,16675,15995,16703
234,M,East Broadway,F,40.713715,-73.990173,13321,12783,12779,12993,13052,13276,13720,14228,14654,14365,13868,13995
235,Bk,York St,F,40.701397,-73.986751,5894,6077,6621,7426,7798,8629,8973,9328,10246,10373,11032,12638
236,Bk,Bergen St,F G,40.686145,-73.990862,10038,10154,10578,11048,11370,11562,11570,11548,11529,11306,11174,11310
237,Bk,Carroll St,F G,40.680303,-73.995048,10051,9786,10002,11906,13193,12339,11744,11923,11848,11723,11562,11814
238,Bk,Smith - 9 Sts,F G,40.67358,-73.995959,4464,4579,4763,1834,0,2854,4762,5084,4861,4714,4689,4553
240,Bk,7 Av,F G,40.666271,-73.980305,10903,10643,11018,12792,12118,12268,12242,12049,11897,11801,11636,11880
241,Bk,15 St - Prospect Park,F G,40.660365,-73.979493,6002,5977,6220,4725,6018,6448,6495,6385,6342,6272,6136,6324
242,Bk,Fort Hamilton Pkwy,F G,40.650782,-73.975776,4805,4816,4967,4268,5092,5531,5650,5783,6044,5893,5807,5877
243,Bk,Church Av,F,40.644041,-73.979678,9305,9174,9429,10463,9985,9984,9954,10490,10151,9697,9492,9395
244,Bk,Ditmas Av,F,40.636119,-73.978172,4728,4496,4471,4554,4669,4676,4622,3386,3524,3849,3904,3947
245,Bk,18 Av,F,40.629755,-73.976971,4209,4008,4145,4205,4220,4204,4050,4458,4440,4318,3947,3667
246,Bk,Avenue I,F,40.625322,-73.976127,2422,2370,2328,2290,2284,2283,2250,2235,1962,1111,1096,1988
247,Bk,Bay Pkwy,F,40.620769,-73.975264,1414,1336,1386,1398,1526,1575,1516,1491,1329,729,623,1193
248,Bk,Avenue N,F,40.61514,-73.974197,3493,3282,3377,3458,3390,3411,3419,3410,3187,2217,2087,2961
249,Bk,Avenue P,F,40.608944,-73.973022,2859,2648,2667,2696,2705,2757,2767,2804,2688,1821,1710,2463
250,Bk,Kings Hwy,F,40.603217,-73.972361,3513,3323,3478,3605,3681,3655,3616,3726,4637,5186,4567,3724
251,Bk,Avenue U,F,40.596063,-73.973357,2153,2142,2331,2229,2302,2296,2215,2439,2578,1276,1042,1838
252,Bk,Avenue X,F,40.58962,-73.97425,2857,2736,2789,2810,2877,2972,2859,1928,2424,2508,2662,2530
253,Bk,Neptune Av,F,40.581011,-73.974574,1611,1583,1720,1794,1705,1749,1698,1807,1742,1658,1516,1456
254,Q,Jamaica - 179 St,F,40.712646,-73.783817,23394,22535,22766,23174,23330,23280,23093,23417,23121,22421,21452,21353
255,Q,169 St,F,40.71047,-73.793604,8416,8412,8600,8949,8944,9042,9106,9138,9016,8671,8109,8004
256,Q,Parsons Blvd,F,40.707564,-73.803326,6122,5920,6013,6174,6329,6463,6540,6640,6644,6593,6462,6654
257,Q,Sutphin Blvd,F,40.70546,-73.810708,4464,4404,4605,4693,4760,4932,4795,4851,4652,4496,4291,4328
258,Q,Briarwood - Van Wyck Blvd,E F,40.709179,-73.820574,6026,5744,5688,5655,5196,4664,4695,4876,5057,5061,4913,4970
259,Q,Kew Gardens - Union Tpke,E F,40.714441,-73.831008,26996,26411,26763,27280,27884,28289,27693,27558,27085,26493,25536,25235
260,Q,75 Av,E F,40.718331,-73.837324,3687,3595,3692,3811,3735,3763,3742,3756,3710,3365,3455,3549
261,Q,Forest Hills - 71 Av,E F M R,40.721691,-73.844521,27139,26190,26494,27123,27537,27728,27784,28209,28135,27760,26613,26477
262,Q,67 Av,M R,40.726523,-73.852719,9534,9317,9238,9333,9403,9475,9544,9548,9479,9181,8774,8881
263,Q,63 Dr - Rego Park,M R,40.729846,-73.861604,15171,14395,14940,15557,16056,16334,16771,16770,16868,16323,15574,15567
264,Q,Woodhaven Blvd,M R,40.733106,-73.869229,23826,23035,22673,22502,22521,22276,22156,22220,22483,21879,20704,20340
265,Q,Grand Av - Newtown,M R,40.737015,-73.877223,17789,17387,17466,17886,18108,18298,18413,18955,19373,18754,18489,18531
